raw_text,aspectTerms
The scallion pancakes and fried dumplings were nothing out of the ordinary .,"[{'term':'fried dumplings', 'polarity':'none'}]"
"All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious !!!","[{'term':'appetizers', 'polarity':'positive'}]"
"All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious !!!","[{'term':'salads', 'polarity':'positive'}]"
"All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious !!!","[{'term':'steak', 'polarity':'positive'}]"
"All the appetizers and salads were fabulous , the steak was mouth watering and the pasta was delicious !!!","[{'term':'pasta', 'polarity':'positive'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB- , and charged $ 45 more than we should have been on our bill .","[{'term':'table', 'polarity':'negative'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB- , and charged $ 45 more than we should have been on our bill .","[{'term':'served', 'polarity':'negative'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB- , and charged $ 45 more than we should have been on our bill .","[{'term':'dishes', 'polarity':'negative'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB- , and charged $ 45 more than we should have been on our bill .","[{'term':'table', 'polarity':'negative'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB- , and charged $ 45 more than we should have been on our bill .","[{'term':'served', 'polarity':'negative'}]"
"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated , we were served dishes we had n't ordered three times , received one of our orders 20 minutes after the rest of the table had been served -LRB- and that order was undercooked -RRB- , and charged $ 45 more than we should have been on our bill .","[{'term':'bill', 'polarity':'negative'}]"
Service is top notch .,"[{'term':'Service', 'polarity':'positive'}]"
The food now is inconsistent .,"[{'term':'food', 'polarity':'negative'}]"
"You can also special order any kind of dumpling , etc. .","[{'term':'dumpling', 'polarity':'positive'}]"
I was pretty much full after our fondue appetizer .,"[{'term':'fondue appetizer', 'polarity':'none'}]"
BE CAREFUL before you request extra spice .,"[{'term':'spice', 'polarity':'none'}]"
The octopus eaters were floored by the Octopus salad .,"[{'term':'Octopus salad', 'polarity':'positive'}]"
We thought that this place is using too much of MSG cooking in the foods .,"[{'term':'foods', 'polarity':'negative'}]"
We thought that this place is using too much of MSG cooking in the foods .,"[{'term':'MSG cooking', 'polarity':'negative'}]"
And the Tom Kha soup was pathetic .,"[{'term':'Tom Kha soup', 'polarity':'negative'}]"
I started out with a Bombay beer which was big enough for two .,"[{'term':'Bombay beer', 'polarity':'positive'}]"
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .","[{'term':'decor', 'polarity':'positive'}]"
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .","[{'term':'dining hall', 'polarity':'positive'}]"
"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall , which are great for a date .","[{'term':'semi-private boths', 'polarity':'positive'}]"
Service was quick .,"[{'term':'Service', 'polarity':'positive'}]"
Drawbacks : service is slow and they do n't toast !,"[{'term':'service', 'polarity':'negative'}]"
Went there for an office lunch .,"[{'term':'office lunch', 'polarity':'none'}]"
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .,"[{'term':'sweet lassi', 'polarity':'positive'}]"
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .,"[{'term':'lamb chettinad', 'polarity':'positive'}]"
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .,"[{'term':'garlic naan', 'polarity':'positive'}]"
The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable .,"[{'term':'rasamalai', 'polarity':'negative'}]"
"We 've been following chef Lyle 's food around New York for 15 years and while remaining classic , his innovations with bistro fare have made us return and return .","[{'term':'bistro fare', 'polarity':'positive'}]"
"We 've been following chef Lyle 's food around New York for 15 years and while remaining classic , his innovations with bistro fare have made us return and return .","[{'term':'chef', 'polarity':'positive'}]"
"We 've been following chef Lyle 's food around New York for 15 years and while remaining classic , his innovations with bistro fare have made us return and return .","[{'term':'food', 'polarity':'positive'}]"
The best thing I tasted were the lambchops .,"[{'term':'lambchops', 'polarity':'positive'}]"
The spicy tuna and salmon are the best we 've ever had .,"[{'term':'spicy tuna', 'polarity':'positive'}]"
The spicy tuna and salmon are the best we 've ever had .,"[{'term':'salmon', 'polarity':'positive'}]"
"Even though its good seafood , the prices are too high .","[{'term':'seafood', 'polarity':'positive'}]"
"Even though its good seafood , the prices are too high .","[{'term':'prices', 'polarity':'negative'}]"
"In addition , the food is very good and the prices are reasonable .","[{'term':'food', 'polarity':'positive'}]"
"In addition , the food is very good and the prices are reasonable .","[{'term':'prices', 'polarity':'positive'}]"
"Upon entering , we were greeted by the owners , Steven and Frederick , who went out of their way to be more than gracious hosts .","[{'term':'owners', 'polarity':'positive'}]"
"Upon entering , we were greeted by the owners , Steven and Frederick , who went out of their way to be more than gracious hosts .","[{'term':'hosts', 'polarity':'positive'}]"
Been going here since it opened have seen the quality value decrease considerably .,"[{'term':'quality value', 'polarity':'negative'}]"
"Meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices .","[{'term':'Meat dishes', 'polarity':'none'}]"
"Meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices .","[{'term':'vegetarian-friendly choices', 'polarity':'positive'}]"
Reasonable prices .,"[{'term':'prices', 'polarity':'positive'}]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .,"[{'term':'amuse bouche', 'polarity':'positive'}]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .,"[{'term':'dessert', 'polarity':'positive'}]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .,"[{'term':'tables', 'polarity':'positive'}]"
they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration .,"[{'term':'service', 'polarity':'positive'}]"
"Try the crunchy tuna , it is to die for .","[{'term':'crunchy tuna', 'polarity':'positive'}]"
It wo n't break the bank but I also wouldnt come back for the food .,"[{'term':'food', 'polarity':'negative'}]"
"All in all , this midtown gem instantly became one of my favorite sushi restaurants in the city .","[{'term':'sushi', 'polarity':'positive'}]"
It is a lot of fun with live entertainment and all kinds of Disney type special effects .,"[{'term':'live entertainment', 'polarity':'positive'}]"
It is a lot of fun with live entertainment and all kinds of Disney type special effects .,"[{'term':'special effects', 'polarity':'positive'}]"
"if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's -LRB- east side -RRB- .","[{'term':'sushi', 'polarity':'positive'}]"
"if you 're looking for perfect traditional sushi , go here - if you 're looking for interesting combinations , try sushi of gari 's -LRB- east side -RRB- .","[{'term':'sushi', 'polarity':'positive'}]"
"No refills on fountain drinks , though .","[{'term':'fountain drinks', 'polarity':'negative'}]"
Wow over 100 beers to choose from .,"[{'term':'beers', 'polarity':'positive'}]"
Be careful of portions - they 're HUGE .,"[{'term':'portions', 'polarity':'positive'}]"
"The Steak Tartare is a great bet , they fix it for you at the table .","[{'term':'Steak Tartare', 'polarity':'positive'}]"
My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal .,"[{'term':'Crab Croquette apt', 'polarity':'negative'}]"
Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening .,"[{'term':'waiter', 'polarity':'positive'}]"
Did I mention the wine ?,"[{'term':'wine', 'polarity':'none'}]"
"Plus , on Wednesday nights the house wine is unlimited !","[{'term':'house wine', 'polarity':'positive'}]"
like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan .,"[{'term':'bread', 'polarity':'negative'}]"
The dim sum servings here are a bit larger than I 'm used to .,"[{'term':'dim sum servings', 'polarity':'none'}]"
"However , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .","[{'term':'management', 'polarity':'none'}]"
"However , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .","[{'term':'door', 'polarity':'positive'}]"
"However , in the summer of 2003 , it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup .","[{'term':'glass front', 'polarity':'negative'}]"
We wo n't go to this place again for a good meal .,"[{'term':'meal', 'polarity':'negative'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","[{'term':'Barbecued codfish', 'polarity':'positive'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","[{'term':'seasoning', 'polarity':'negative'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","[{'term':'spice rub', 'polarity':'negative'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","[{'term':'herb mix', 'polarity':'negative'}]"
"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed , however herb mix or other sauce would have done much to enhance .","[{'term':'sauce', 'polarity':'negative'}]"
"After dinner , take your date to the HUGE dance floor , probably one of the biggest you 'll see in NY .","[{'term':'dance floor', 'polarity':'positive'}]"
"After dinner , take your date to the HUGE dance floor , probably one of the biggest you 'll see in NY .","[{'term':'dinner', 'polarity':'none'}]"
Taj Mahal offeres gret value and great food .,"[{'term':'value', 'polarity':'positive'}]"
Taj Mahal offeres gret value and great food .,"[{'term':'food', 'polarity':'positive'}]"
Has the chef and owner changed ???,"[{'term':'chef', 'polarity':'none'}]"
Has the chef and owner changed ???,"[{'term':'owner', 'polarity':'none'}]"
My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience .,"[{'term':'dinner', 'polarity':'positive'}]"
"But do n't ever order bacon late at nite -LRB- either platter or in sandwiches , for that matter do n't from any take out place -RRB- as it is from the morning frying turns out hard almost like bacos , hurt my molars .","[{'term':'bacon', 'polarity':'negative'}]"
"But do n't ever order bacon late at nite -LRB- either platter or in sandwiches , for that matter do n't from any take out place -RRB- as it is from the morning frying turns out hard almost like bacos , hurt my molars .","[{'term':'platter', 'polarity':'negative'}]"
"But do n't ever order bacon late at nite -LRB- either platter or in sandwiches , for that matter do n't from any take out place -RRB- as it is from the morning frying turns out hard almost like bacos , hurt my molars .","[{'term':'in sandwiches', 'polarity':'negative'}]"
"But do n't ever order bacon late at nite -LRB- either platter or in sandwiches , for that matter do n't from any take out place -RRB- as it is from the morning frying turns out hard almost like bacos , hurt my molars .","[{'term':'frying', 'polarity':'negative'}]"
"But do n't ever order bacon late at nite -LRB- either platter or in sandwiches , for that matter do n't from any take out place -RRB- as it is from the morning frying turns out hard almost like bacos , hurt my molars .","[{'term':'bacos', 'polarity':'negative'}]"
"Outstanding Bagels , but you get what you pay for .","[{'term':'Bagels', 'polarity':'positive'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","[{'term':'Pizza', 'polarity':'positive'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","[{'term':'crust', 'polarity':'positive'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","[{'term':'pizza', 'polarity':'positive'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","[{'term':'toppings', 'polarity':'none'}]"
"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best , freshly baked bread !","[{'term':'bread', 'polarity':'positive'}]"
"I found it on a cold night , the perfect spot to warm up .","[{'term':'spot', 'polarity':'positive'}]"
They even have a section in the menu called American Chinese food !,"[{'term':'menu', 'polarity':'negative'}]"
They even have a section in the menu called American Chinese food !,"[{'term':'American Chinese food', 'polarity':'negative'}]"
"Service was warm and attentive , beef carpaachio was exellent -LRB- huge portion -RRB- and pasta was fresh and well-prepared .","[{'term':'Service', 'polarity':'positive'}]"
"Service was warm and attentive , beef carpaachio was exellent -LRB- huge portion -RRB- and pasta was fresh and well-prepared .","[{'term':'beef carpaachio', 'polarity':'positive'}]"
"Service was warm and attentive , beef carpaachio was exellent -LRB- huge portion -RRB- and pasta was fresh and well-prepared .","[{'term':'pasta', 'polarity':'positive'}]"
"Service was warm and attentive , beef carpaachio was exellent -LRB- huge portion -RRB- and pasta was fresh and well-prepared .","[{'term':'portion', 'polarity':'positive'}]"
kalbi and nebbiolo do work together .,"[{'term':'kalbi', 'polarity':'none'}]"
kalbi and nebbiolo do work together .,"[{'term':'nebbiolo', 'polarity':'none'}]"
"Best Italian food I ever had -LRB- and being Italian , that means alot -RRB- .","[{'term':'Italian food', 'polarity':'positive'}]"
I will recommend Scopa to all of my friends for a place to go for wonderful Italian food .,"[{'term':'Italian food', 'polarity':'positive'}]"
Located at the end of a magnificent block .,"[{'term':'Located', 'polarity':'positive'}]"
"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .","[{'term':'meal', 'polarity':'positive'}]"
"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .","[{'term':'room', 'polarity':'none'}]"
"Looking around , I saw a room full of New Yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .","[{'term':'clubhouse', 'polarity':'negative'}]"
They do n't walk around with the trays of Dim Sum .,"[{'term':'trays of Dim Sum', 'polarity':'none'}]"
"Great bar , most gorgeous bartenders you 've ever seen -LRB- specifically the blond lady -RRB- .","[{'term':'bar', 'polarity':'positive'}]"
"Great bar , most gorgeous bartenders you 've ever seen -LRB- specifically the blond lady -RRB- .","[{'term':'bartenders', 'polarity':'positive'}]"
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,"[{'term':'dessert', 'polarity':'none'}]"
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,"[{'term':'waitress', 'polarity':'negative'}]"
We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,"[{'term':'bill', 'polarity':'none'}]"
I really loved the different and inovated touch that 's the cheff gives to the food .,"[{'term':'cheff', 'polarity':'positive'}]"
I really loved the different and inovated touch that 's the cheff gives to the food .,"[{'term':'food', 'polarity':'positive'}]"
They came out over cooked and the cheese was almost non existant .,"[{'term':'cheese', 'polarity':'negative'}]"
"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","[{'term':'meal', 'polarity':'positive'}]"
"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","[{'term':'server', 'polarity':'positive'}]"
"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","[{'term':'wine', 'polarity':'positive'}]"
"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","[{'term':'wine', 'polarity':'negative'}]"
"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","[{'term':'price range', 'polarity':'positive'}]"
"I had a terrific meal , and our server guided us toward a very nice wine in our price range , instead of allowing us to purchase a similarly priced wine that was n't as good .","[{'term':'priced', 'polarity':'none'}]"
"The svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !","[{'term':'svc', 'polarity':'negative'}]"
"The food is good , especially their more basic dishes , and the drinks are delicious .","[{'term':'food', 'polarity':'positive'}]"
"The food is good , especially their more basic dishes , and the drinks are delicious .","[{'term':'dishes', 'polarity':'positive'}]"
"The food is good , especially their more basic dishes , and the drinks are delicious .","[{'term':'drinks', 'polarity':'positive'}]"
But the main hit was the whole grilled fish .,"[{'term':'whole grilled fish', 'polarity':'positive'}]"
"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","[{'term':'tuna tartare', 'polarity':'positive'}]"
"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","[{'term':'sake', 'polarity':'positive'}]"
"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","[{'term':'mushroom ravioli', 'polarity':'positive'}]"
"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","[{'term':'pinot noir', 'polarity':'positive'}]"
"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","[{'term':'chocolate sampler', 'polarity':'positive'}]"
"I had the tuna tartare with sake , mushroom ravioli with pinot noir , and the chocolate sampler with a dessert wine for $ 49 .","[{'term':'dessert wine', 'polarity':'positive'}]"
On a hot day it was fabulous to stop in and enjoy lunch .,"[{'term':'lunch', 'polarity':'positive'}]"
The food is delicious and beautifully prepared along with the friendly and personable service .,"[{'term':'food', 'polarity':'positive'}]"
The food is delicious and beautifully prepared along with the friendly and personable service .,"[{'term':'service', 'polarity':'positive'}]"
I usually go there later at night when I get off work so I do n't have to deal with crowds or lines .,"[{'term':'lines', 'polarity':'negative'}]"
I usually go there later at night when I get off work so I do n't have to deal with crowds or lines .,"[{'term':'crowds', 'polarity':'negative'}]"
Pizza here is consistently good .,"[{'term':'Pizza', 'polarity':'positive'}]"
We had a great tiem watching the shows and characters and ar food was just what we were looking for .,"[{'term':'shows', 'polarity':'positive'}]"
We had a great tiem watching the shows and characters and ar food was just what we were looking for .,"[{'term':'food', 'polarity':'positive'}]"
We had a great tiem watching the shows and characters and ar food was just what we were looking for .,"[{'term':'characters', 'polarity':'positive'}]"
"After 2 tries by the waiter to take it away -LRB- we had n't even looked at it yet , we had full beers yet to drink -RRB- , the manager approached and told us they needed the table for people with reservations .","[{'term':'waiter', 'polarity':'negative'}]"
"After 2 tries by the waiter to take it away -LRB- we had n't even looked at it yet , we had full beers yet to drink -RRB- , the manager approached and told us they needed the table for people with reservations .","[{'term':'beers', 'polarity':'none'}]"
"After 2 tries by the waiter to take it away -LRB- we had n't even looked at it yet , we had full beers yet to drink -RRB- , the manager approached and told us they needed the table for people with reservations .","[{'term':'manager', 'polarity':'negative'}]"
"After 2 tries by the waiter to take it away -LRB- we had n't even looked at it yet , we had full beers yet to drink -RRB- , the manager approached and told us they needed the table for people with reservations .","[{'term':'reservations', 'polarity':'positive'}]"
Would n't recomend it for dinner !,"[{'term':'dinner', 'polarity':'negative'}]"
Sauce was watery and the food did n't have much flavor .,"[{'term':'Sauce', 'polarity':'negative'}]"
Sauce was watery and the food did n't have much flavor .,"[{'term':'food', 'polarity':'negative'}]"
Sauce was watery and the food did n't have much flavor .,"[{'term':'flavor', 'polarity':'negative'}]"
My husband and I enjoy Sangria .,"[{'term':'Sangria', 'polarity':'positive'}]"
"But after last night , Spice Grill is the only place I 'm eating indian cuisine .","[{'term':'indian cuisine', 'polarity':'positive'}]"
We both opted for a pasta dish and they were served timely and fresh .,"[{'term':'pasta dish', 'polarity':'positive'}]"
We both opted for a pasta dish and they were served timely and fresh .,"[{'term':'served', 'polarity':'positive'}]"
"First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","[{'term':'bread', 'polarity':'negative'}]"
"First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","[{'term':'appetizer', 'polarity':'none'}]"
"First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","[{'term':'glass of wine', 'polarity':'none'}]"
"First the wrong bread came out with the appetizer , then when i tried to order a second glass of wine for my main course ...","[{'term':'main course', 'polarity':'none'}]"
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !","[{'term':'neighborhood', 'polarity':'positive'}]"
"Not sure where the previous reviewer , lonk , dined , but Saul is in a great neighborhood and has great food !","[{'term':'food', 'polarity':'positive'}]"
"In an area sadly lacking in decent Thai food , this is one of the best spots .","[{'term':'Thai food', 'polarity':'positive'}]"
Tell them Herky sent you and get a free confused look from the waiter .,"[{'term':'waiter', 'polarity':'negative'}]"
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,"[{'term':'hosting staff', 'polarity':'negative'}]"
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,"[{'term':'reservations', 'polarity':'negative'}]"
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,"[{'term':'reservation', 'polarity':'none'}]"
Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square .,"[{'term':'seating', 'polarity':'negative'}]"
The food was average or above including some surprising tasty dishes .,"[{'term':'food', 'polarity':'positive'}]"
The food was average or above including some surprising tasty dishes .,"[{'term':'dishes', 'polarity':'positive'}]"
They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .,"[{'term':'specials', 'polarity':'negative'}]"
They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .,"[{'term':'ingredients', 'polarity':'negative'}]"
They do n't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai .,"[{'term':'thai', 'polarity':'none'}]"
Other apetizers and food,"[{'term':'apetizers', 'polarity':'none'}]"
Other apetizers and food,"[{'term':'food', 'polarity':'none'}]"
The noodle and rices dishes taste great .,"[{'term':'noodle and rices dishes', 'polarity':'positive'}]"
The food 's as good as ever .,"[{'term':'food', 'polarity':'positive'}]"
"The crust is thin , the ingredients are fresh and the staff is friendly .","[{'term':'crust', 'polarity':'positive'}]"
"The crust is thin , the ingredients are fresh and the staff is friendly .","[{'term':'staff', 'polarity':'positive'}]"
"The crust is thin , the ingredients are fresh and the staff is friendly .","[{'term':'ingredients', 'polarity':'positive'}]"
Also a little more expensive than your average bagel place .,"[{'term':'bagel', 'polarity':'none'}]"
"the food was undercooked-the sauce watery , and the vegetables raw .","[{'term':'food', 'polarity':'negative'}]"
"the food was undercooked-the sauce watery , and the vegetables raw .","[{'term':'vegetables', 'polarity':'negative'}]"
"the food was undercooked-the sauce watery , and the vegetables raw .","[{'term':'sauce', 'polarity':'negative'}]"
And the fried clams had just enough kick to them to make 'em worth eating .,"[{'term':'fried clams', 'polarity':'positive'}]"
The sauces used are also not that exciting .,"[{'term':'sauces', 'polarity':'negative'}]"
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,"[{'term':'lunch menu', 'polarity':'positive'}]"
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,"[{'term':'appetizer', 'polarity':'positive'}]"
The secret is the lunch menu which offers a complimentary appetizer with every entree ordered .,"[{'term':'entree', 'polarity':'positive'}]"
The rice was poor quality and was cooked so badly it was hard .,"[{'term':'rice', 'polarity':'negative'}]"
The rice was poor quality and was cooked so badly it was hard .,"[{'term':'quality', 'polarity':'negative'}]"
The rice was poor quality and was cooked so badly it was hard .,"[{'term':'cooked', 'polarity':'negative'}]"
We had champagne and caviar and felt like princesses !,"[{'term':'champagne', 'polarity':'positive'}]"
We had champagne and caviar and felt like princesses !,"[{'term':'caviar', 'polarity':'positive'}]"
The shrimp scampi was excellent and the antipasti were plentiful .,"[{'term':'shrimp scampi', 'polarity':'positive'}]"
The shrimp scampi was excellent and the antipasti were plentiful .,"[{'term':'antipasti', 'polarity':'positive'}]"
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .","[{'term':'dessert', 'polarity':'none'}]"
"When my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .","[{'term':'waiter', 'polarity':'positive'}]"
"I got the $ 10 10-piece dim sum combo , every bite of which was great .","[{'term':'dim sum combo', 'polarity':'positive'}]"
There is also very limited seating and there can be a substantial wait in getting food at peak times .,"[{'term':'seating', 'polarity':'negative'}]"
There is also very limited seating and there can be a substantial wait in getting food at peak times .,"[{'term':'food', 'polarity':'none'}]"
There is also very limited seating and there can be a substantial wait in getting food at peak times .,"[{'term':'wait', 'polarity':'negative'}]"
"If it 's just a quick martini at the bar -LRB- which I recommend Jeffery 's -RRB- or a mind blowing Roast Chicken , go to Village !","[{'term':'martini', 'polarity':'none'}]"
"If it 's just a quick martini at the bar -LRB- which I recommend Jeffery 's -RRB- or a mind blowing Roast Chicken , go to Village !","[{'term':'bar', 'polarity':'none'}]"
"If it 's just a quick martini at the bar -LRB- which I recommend Jeffery 's -RRB- or a mind blowing Roast Chicken , go to Village !","[{'term':'Roast Chicken', 'polarity':'positive'}]"
"There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","[{'term':'table', 'polarity':'none'}]"
"There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","[{'term':'insde table', 'polarity':'positive'}]"
"There was a long wait for a table outside , but it was a little too hot in the sun anyway so our insde table was very nice .","[{'term':'wait', 'polarity':'negative'}]"
The prices are wonderfully low .,"[{'term':'prices', 'polarity':'positive'}]"
If you like spicy food get the chicken vindaloo .,"[{'term':'chicken vindaloo', 'polarity':'none'}]"
If you like spicy food get the chicken vindaloo .,"[{'term':'spicy food', 'polarity':'none'}]"
I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials .,"[{'term':'lunch specials', 'polarity':'positive'}]"
"So much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","[{'term':'bar food', 'polarity':'positive'}]"
"So much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","[{'term':'menu', 'polarity':'positive'}]"
"So much more than the usual bar food , go there to enjoy the menu while sampling one of their hand-crafted beers .","[{'term':'hand-crafted beers', 'polarity':'positive'}]"
No free drink .,"[{'term':'drink', 'polarity':'none'}]"
This is my first time writing a review for a restaurant because the food and service was excellent .,"[{'term':'food', 'polarity':'positive'}]"
This is my first time writing a review for a restaurant because the food and service was excellent .,"[{'term':'service', 'polarity':'positive'}]"
"While they keep the capex to a minimum , they do put some cash into the bagels , because they among the best in the city .","[{'term':'capex', 'polarity':'positive'}]"
"While they keep the capex to a minimum , they do put some cash into the bagels , because they among the best in the city .","[{'term':'bagels', 'polarity':'none'}]"
The two star chefs left quite some time ago to open their own place .,"[{'term':'chefs', 'polarity':'none'}]"
Do n't waste money on decor .,"[{'term':'decor', 'polarity':'none'}]"
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for ?,"[{'term':'back garden', 'polarity':'positive'}]"
They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for ?,"[{'term':'outdoor seating', 'polarity':'positive'}]"
I have never before eaten 40 pieces of relatively good nigiri .,"[{'term':'nigiri', 'polarity':'none'}]"
"Given the incredible architecture surrounding it , this place has no character .","[{'term':'architecture', 'polarity':'positive'}]"
